,공고명,회사명,직무,마감일,고용 형태,근무지,학력,기술 스택,링크
0,"연구센터 개발자(Nestjs, DevOps)",원더무브,"웹 개발자, 서버 개발자, Node.js 개발자",2023-05-29,,서울 서초구 논현로27길 104,,"['Git', 'Github', 'MongoDB', 'React', 'HTML', 'JavaScript', 'Node.js', 'AWS', 'React.js']",https://www.wanted.co.kr///wd/162445
1,[Nest]백엔드 개발자,더프라자,"웹 개발자, 서버 개발자, Node.js 개발자",2023-05-31,,서울 서울시 강남구 영동대로 85길 20 대치3차아이파크,,"['Github', 'Slack', 'MySQL', 'React', 'Ruby on Rails', 'Node.js', 'TypeScript', 'AWS', 'React Native', 'Figma', 'Notion', 'Nest.js']",https://www.wanted.co.kr///wd/159542
2,백엔드 개발자,한국글로벌널리지네트웍,웹 개발자,,,서울 금천구 가산디지털1로 168 우림라이온스밸리 B동 1206호,,"['Github', 'GraphQL', 'Linux', 'React', 'JavaScript', 'PHP', 'Python', 'TypeScript', 'AWS', 'HTML5', 'PostgreSQL', 'SASS', 'Moodle', 'React.js', 'Figma']",https://www.wanted.co.kr///wd/156765
3,[개발팀] 백엔드 담당자,아이티이지,"웹 개발자, 서버 개발자, PHP 개발자",,,서울 서초구 서초대로 250 3층 (스타갤러리브릿지),,"['Linux', 'MySQL', 'Java', 'JavaScript', 'PHP', 'Python', 'Docker', 'ElasticSearch', 'CodeIgniter', 'Kubernetes']",https://www.wanted.co.kr///wd/154335
4,Windows Client 개발자,스파이더크래프트,"웹 개발자, 서버 개발자",,,서울 서울시 강남구 논현로 131길 20 스파이더센터,,"['Github', 'Azure', 'Linux', 'MySQL', 'C / C++', 'JSON', 'MSSQL']",https://www.wanted.co.kr///wd/153026
5,Front-end 개발자,베이리스,"웹 개발자, 서버 개발자, 프론트엔드 개발자",,,"경기 경기도 성남시 수정구 창업로42, 경기기업성장센터 725호",,"['C', 'C++']",https://www.wanted.co.kr///wd/152603
6,백엔드/서버 개발자,이글로벌시스템,"웹 개발자, 서버 개발자, 자바 개발자",,,서울 서울시 강남구 선릉로 93길54 일환빌딩 4층,,"['Git', 'Linux', 'C / C++', 'Java', 'SQL', 'UNIX', 'Docker']",https://www.wanted.co.kr///wd/99189
7,웹 개발자,플랫포머스,웹 개발자,,,서울 서울시 강남구 언주로 431 7층 삼봉빌딩,,"['Github', 'Android', 'AngularJS', 'iOS', 'Linux', 'React', 'VueJS', 'ASP', 'ASP .NET', 'HTML', 'Java', 'JavaScript', 'SQL', 'JSP']",https://www.wanted.co.kr///wd/96134
8,[100억↑투자] Back-end Software Engineer,제이앤피메디(JNPMEDI),"웹 개발자, 서버 개발자, 소프트웨어 엔지니어",,,"인천 연수구 컨벤시아대로 165, 포스코타워 31층",,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",https://www.wanted.co.kr///wd/117929
9,[100억↑투자] Front-end Software Engineer,제이앤피메디(JNPMEDI),"웹 개발자, 서버 개발자, 프론트엔드 개발자",,,"인천 연수구 컨벤시아대로 165, 포스코타워 31층",,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",https://www.wanted.co.kr///wd/117921
10,[100억↑투자] Fullstack Software Engineer,제이앤피메디(JNPMEDI),"웹 개발자, 서버 개발자, 소프트웨어 엔지니어",2023-12-31,,"인천 연수구 컨벤시아대로 165, 포스코타워 31층",,"['Sketch', 'Confluence', 'JIRA', 'Slack', 'Adobe XD', 'Figma', 'Notion']",https://www.wanted.co.kr///wd/116809
11,[Vrew] 데스크탑 앱 개발자,보이저엑스(VoyagerX),"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,서울 서초구 서초대로38길 12 마제스타시티 타워1 10층 (주)보이저엑스,,[],https://www.wanted.co.kr///wd/93332
12,프론트엔드 웹 개발자 (React),클라우드호스피탈,"웹 개발자, 프론트엔드 개발자, Node.js 개발자",,,서울 서울 서초구 서초대로 398 BNK 디지털 타워 (패스트파이브 강남3호점) 5층,,[],https://www.wanted.co.kr///wd/128757
13,[100억↑투자] Frontend Engineer (프론트엔드 개발자),플루고코리아,"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,서울 서울특별시 강남구 테헤란로 501 (브이플렉스),,"['Github', 'MongoDB', 'MySQL', 'AWS', 'DevOps', 'Kubernetes']",https://www.wanted.co.kr///wd/160538
14,프론트엔드/풀스택 개발자,선데이띵커,"웹 개발자, 프론트엔드 개발자, Node.js 개발자",,,서울 서울시 마포대로 53길 A동 2412호,,"['JavaScript', 'TypeScript', 'AWS', 'jQuery', 'HTML5', 'CSS3', 'NodeJS']",https://www.wanted.co.kr///wd/159691
15,MLOps 개발자,히츠,"웹 개발자, 서버 개발자, 파이썬 개발자",2023-06-11,,서울 서울특별시 강남구 역삼1동 테헤란로 124,,"['Git', 'Python', 'AWS', 'Kubernetes']",https://www.wanted.co.kr///wd/158859
16,[미리디] Jr. 프론트엔드 개발자,미리디,"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",2023-06-08,,"서울 디지털로31길 12, 8층 (구로동, 태평양물산)",,"['React', 'CSS', 'TypeScript', 'Spa']",https://www.wanted.co.kr///wd/160286
17,전문연구요원(웹 개발자),씨알에스큐브(CRScube),"웹 개발자, 자바 개발자",2023-05-31,,"서울 양화로 19, 합정오피스빌딩 4층",,"['HTML', 'JavaScript', 'Python', 'AWS', 'API', 'Spring Framework']",https://www.wanted.co.kr///wd/150987
18,웹 개발자(산업기능요원/전문연구요원 가능),씨알에스큐브(CRScube),"웹 개발자, 자바 개발자",,,"서울 양화로 19, 합정오피스빌딩 4층",,"['HTML', 'JavaScript', 'Python', 'AWS', 'API', 'Spring Framework']",https://www.wanted.co.kr///wd/1885
19,프론트엔드 개발 (React),키클롭스,"웹 개발자, 프론트엔드 개발자",,,서울 서울 성동구 뚝섬로 317 반석빌딩 1~3층,,[],https://www.wanted.co.kr///wd/52187
20,Jr. Full-stack Engineer,이큐브랩 (Ecube Labs),"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,"서울 서울특별시 구로구 디지털로 300, A동 13층",,"['Linux', 'C / C++', 'Python', 'IoT', 'C++', '펌웨어', 'ML']",https://www.wanted.co.kr///wd/114365
21,병역특례 S/W 개발 엔지니어 전문연구요원,코코네엠(coconeM),"웹 개발자, 서버 개발자, 소프트웨어 엔지니어",,,서울 서울시 강남구 학동로 9길 19,,"['MongoDB', 'Java', 'Python', 'AWS', 'Docker', 'GCP', 'Kubernetes']",https://www.wanted.co.kr///wd/141333
22,테크 콘텐츠 에디터,코드잇(codeit),"웹 개발자, 서버 개발자",,,서울 중구 청계천로 100 시그니쳐타워 동관 10층,,[],https://www.wanted.co.kr///wd/95863
23,프로그래밍 콘텐츠 프로듀서,코드잇(codeit),"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,서울 중구 청계천로 100 시그니쳐타워 동관 10층,,[],https://www.wanted.co.kr///wd/84708
24,백엔드 엔지니어,리드넘버,"웹 개발자, 서버 개발자, 자바 개발자",,,서울 서울특별시 관악구 남현동 1059-11 도원회관,,[],https://www.wanted.co.kr///wd/153016
25,프론트엔드(React.js/Vue.js) 개발자,미디어창비,"웹 개발자, 프론트엔드 개발자, 웹 퍼블리셔",,,서울 서울특별시 마포구 월드컵로12길,,"['Azure', '.NET', 'MySQL', 'Oracle', 'C#', 'Java', 'JavaScript', 'PHP', 'React.js', 'MSSQL', 'Spring Boot', 'Next.js', 'Vue.JS']",https://www.wanted.co.kr///wd/153715
26,node.js 백엔드 개발자(신입가능),인졀미,"웹 개발자, 서버 개발자, Node.js 개발자",2023-06-27,,서울 서초구 태봉로 114 한국교총 8층 801호,,"['Git', 'Android', 'ExpressJS', 'iOS', 'TypeScript', 'Scrum', 'Agile', 'AWS', 'NodeJS', 'Android Studio', 'IntelliJ IDEA', 'Visual Studio Code', 'Flutter', 'Notion']",https://www.wanted.co.kr///wd/157909
27,병원 SW 산업기능요원(보충역) 개발자,전능아이티,"웹 개발자, 자바 개발자, 안드로이드 개발자",,,"서울 서울시 서초구 효령로53길 21, 신성빌딩 2층",,"['.NET', 'MySQL', 'C#', 'Node.js', 'MSSQL']",https://www.wanted.co.kr///wd/75585
28,백엔드 개발자 (PHP),코멘토,"웹 개발자, 서버 개발자, PHP 개발자",,,"서울 서울특별시 중구 한강대로 416, 서울스퀘어 15층 101호",,"['Git', 'Github', 'VueJS', 'CSS', 'HTML', 'JavaScript', 'PHP', 'AWS', 'Docker', 'Laravel', 'React.js', 'Flutter', 'Next.js']",https://www.wanted.co.kr///wd/55869
29,[전문연구요원] 백엔드 개발자,스트리미(Streami),"웹 개발자, 소프트웨어 엔지니어, 자바 개발자",,,"서울 송파구 올림픽로35다길 42, 한국루터회관빌딩 18층",,[],https://www.wanted.co.kr///wd/154875
30,Python 백엔드 개발자(신입),핫셀러,"웹 개발자, 서버 개발자, 파이썬 개발자",2023-06-30,,"서울 서울특별시 동대문구 장한로 6, 장안빌딩 801호",,"['Git', 'MySQL', 'Python', '개발', 'AWS', '솔루션 개발']",https://www.wanted.co.kr///wd/155156
31,프론트엔드 엔지니어(Global),리디(RIDI),"웹 개발자, 프론트엔드 개발자, 자바 개발자",2023-05-31,,서울 서울특별시 강남구 테헤란로 325 어반벤치빌딩 11층,,[],https://www.wanted.co.kr///wd/144181
32,[병역특례_현역/보충역] 풀스택 개발자,넛지헬스케어(캐시워크),"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,서울 서울특별시 강남구 역삼로1길 8,,"['Git', 'Github', 'Android', 'Google Cloud Platform', 'iOS', 'MySQL', 'React', 'C / C++', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Google Analytics', 'AWS', 'SQL 서버', 'NodeJS', 'Spring Framework', 'GCP', 'Google Apps', 'Android Studio']",https://www.wanted.co.kr///wd/134887
33,웹 개발,컨트롤에프,"웹 개발자, 프론트엔드 개발자, 파이썬 개발자",,,"대전 대전광역시 유성구 테크노2로 160, 충남대학교 산학협력 지원센터 209호",,"['Linux', 'MySQL', 'Pytorch', 'Tensorflow', 'HTML', 'Python', 'Docker', 'Spring Framework']",https://www.wanted.co.kr///wd/110337
34,PHP 프로그래머,챔프스터디,"웹 개발자, 프론트엔드 개발자, PHP 개발자",,,서울 서울 서초구 강남대로61길 23,,"['인프라', 'AWS', '정보 보안', '네트워크 보안', '정보관리', '네트워크 인프라', '네트워크 운영', '솔루션 개발', '클라우드 보안', '정보 운영']",https://www.wanted.co.kr///wd/87309
35,[로봇사업본부] 백엔드 개발자 (전문연구요원 가능),트위니,"웹 개발자, 프론트엔드 개발자",,,대전 가정북로 90,,[],https://www.wanted.co.kr///wd/124624
36,[로봇개발본부] 자율주행 로봇 S/W 개발 (전문연구요원 가능),트위니,"웹 개발자, 서버 개발자, 소프트웨어 엔지니어",,,대전 가정북로 90,,[],https://www.wanted.co.kr///wd/124088
37,[윙크] Front-end Developer (ReactJS),단비교육,"웹 개발자, 프론트엔드 개발자",,,서울 개포로 640 JS빌딩 (대청역 3번출구에서 도보 3-4분거리),,[],https://www.wanted.co.kr///wd/56549
38,백엔드 웹개발,한국미용데이터,"웹 개발자, 파이썬 개발자, .NET 개발자",,,서울 서울 관악구 남부순환로 2072,,[],https://www.wanted.co.kr///wd/158980
39,[신입] 백엔드 개발자,엘리스,"웹 개발자, 소프트웨어 엔지니어, 파이썬 개발자",,,"서울 서울시 강남구 선릉로 433 세방빌딩 6층, 16층",,[],https://www.wanted.co.kr///wd/162405
40,Back-end 개발자,뉴지스탁,"웹 개발자, 서버 개발자",,,"서울 영등포구 여의대로 108 파크원타워1, 520호",,"['Linux', 'SQL', 'Spring Framework']",https://www.wanted.co.kr///wd/1765
41,웹 개발자,이스트게임즈,"웹 개발자, 자바 개발자, 파이썬 개발자",,,서울 서울 서초구 반포대로3 이스트빌딩 5층(서초동 1464-30),,"['Linux', 'C#', 'PHP', 'Python', 'Windows 서버', 'Bash', 'IPS']",https://www.wanted.co.kr///wd/72132
42,B2B SaaS 웹 개발자 - (B2B 탄소회계 SaaS),엔츠,"웹 개발자, 소프트웨어 엔지니어",,,서울 서울 강남구 논현로87길 15-6,,[],https://www.wanted.co.kr///wd/136516
43,엔터프라이즈 개발자,마드라스체크,"웹 개발자, 서버 개발자",2023-06-06,,"서울 서울시 영등포구 영신로 220, KnK디지털타워 14층",,['QA 엔지니어링'],https://www.wanted.co.kr///wd/141310
44,웹개발자(JAVA) SI/SM,아임잇,"웹 개발자, 자바 개발자",,,서울 서울특별시 금천구 가산디지털1로,,"['Java', 'WebSphere MQ']",https://www.wanted.co.kr///wd/88446
45,Server Developer(Web/PHP),머니투데이,"웹 개발자, 서버 개발자, PHP 개발자",,,서울 서울 종로구 청계천로11 청계11빌딩,,[],https://www.wanted.co.kr///wd/11018
46,전자무역 솔루션 개발자 (Software Engineer),레디코리아,"웹 개발자, 자바 개발자, .NET 개발자",,,서울 서울특별시 서초구 동광로 41 레디인빌딩,,[],https://www.wanted.co.kr///wd/158468
47,PHP 백엔드 개발자,아파트스토리,"웹 개발자, 서버 개발자, PHP 개발자",,,서울 서울특별시 서초구 강남대로 311 드림플러스 강남 1007호,,"['GitLab', 'Firebase', 'MySQL', 'PHP', 'Apache', 'CentOS', 'Nginx', 'RESTful WebServices']",https://www.wanted.co.kr///wd/128291
48,Backend Engineer,블루밍비트,"웹 개발자, 서버 개발자, 자바 개발자",2023-05-31,,서울 서울 중구 청파로 463,,"['Git', 'React', 'TypeScript', 'AWS', 'SEO', 'Redux']",https://www.wanted.co.kr///wd/158949
49,Front-end 개발자,샘랩(SAMLAB),"웹 개발자, 프론트엔드 개발자",2023-06-09,,"경기 경기도 시흥시 대야동 653-3 수림프라자 902호, 1001호",,[],https://www.wanted.co.kr///wd/63441
50,소프트웨어 엔지니어(POS시스템),클러스터지원그룹,"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,"서울 경기도 군포시 공단로 149, 408호(당동, 아이밸리군포)",,"['Git', 'Android', 'MySQL', 'React', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",https://www.wanted.co.kr///wd/99842
51,웹개발자,클러스터지원그룹,"웹 개발자, PHP 개발자",,,"서울 경기도 군포시 공단로 149, 408호(당동, 아이밸리군포)",,"['Git', 'Android', 'MySQL', 'React', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",https://www.wanted.co.kr///wd/99818
52,소프트웨어 엔지니어(HR시스템),클러스터지원그룹,"웹 개발자, 소프트웨어 엔지니어, PHP 개발자",,,"서울 경기도 군포시 공단로 149, 408호(당동, 아이밸리군포)",,"['Git', 'Android', 'MySQL', 'React', 'ASP', 'C#', 'HTML', 'Java', 'JavaScript', 'Node.js', 'Python', 'Visual Basic', 'jQuery', 'PowerBuilder', 'MSSQL']",https://www.wanted.co.kr///wd/99812
53,Java 개발자 / PHP 개발자 신입,리드코프,"웹 개발자, 자바 개발자, PHP 개발자",2023-05-28,,서울 서울특별시 중구,,[],https://www.wanted.co.kr///wd/157637
54,백엔드 주니어,프리딕션,"웹 개발자, 프론트엔드 개발자, Node.js 개발자",,,서울 성동구 뚝섬로 17가길 48 성수에이원센터 307호,,"['Github', 'C / C++', 'Python', 'R', 'NLP', 'AWS', 'Docker', 'EC2']",https://www.wanted.co.kr///wd/157807
55,웹개발자 [신입],온엣,웹 개발자,,,서울 onetkorea137@gmail.com,,"['Linux', 'HTML', 'JavaScript', 'Python', 'SQL', 'AWS']",https://www.wanted.co.kr///wd/158685
56,Back-end 개발,바텍,"웹 개발자, Node.js 개발자, DevOps / 시스템 관리자",,,서울 양재역 인근 사무실 or 판교역 인근 공유 오피스 or 경기도 화성 동탄 (근무지 선택 가능),,[],https://www.wanted.co.kr///wd/113417
57,웹 서비스 개발자,오브라운,"웹 개발자, 프로덕트 매니저, 웹 퍼블리셔",2023-06-30,,"서울 서울 강남구 테헤란로 437, 8층",,"['MySQL', 'CSS', 'HTML', 'JavaScript', '웹 개발', 'Apache']",https://www.wanted.co.kr///wd/160371
58,AI 제품 개발자,피플앤드테크놀러지,"웹 개발자, 서버 개발자, 자바 개발자",,,"서울 강남구 삼성로 95길 27, 송현빌딩 3층",,[],https://www.wanted.co.kr///wd/140043
59,"[병역특례 보충역, 현역] 웹 프론트엔드 개발자",팬마음,"웹 개발자, 프론트엔드 개발자",,,"서울 강남구 역삼로3길 17-6, 10층",,[],https://www.wanted.co.kr///wd/139893
60,주니어 프론트엔드 엔지니어,홉스,"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,"서울 서울 마포구 마포대로 122, 13층 홉스",,"['Git', 'Github', 'React', 'CSS', 'HTML', 'TypeScript', 'Next.js']",https://www.wanted.co.kr///wd/161159
61,전자결제서비스 PHP 개발자,유디아이디(UDID),"웹 개발자, 프론트엔드 개발자, PHP 개발자",,,"서울 서울 구로구 디지털로26길 61, 1202호(구로동, 에이스하이엔드타워2차)",,"['AngularJS', 'MongoDB', 'MySQL', 'Java', 'JavaScript', 'TypeScript', 'JPA', 'Spring Boot']",https://www.wanted.co.kr///wd/103598
62,[ESTsoft] 백엔드 개발자 (신입),이스트소프트(ESTsoft),"웹 개발자, 서버 개발자, 자바 개발자",,,서울 서울특별시 서초구 반포대로 3 이스트빌딩(서초동 1464-30),,"['MongoDB', 'Java', 'Kotlin', 'Python', 'Spring Framework']",https://www.wanted.co.kr///wd/160808
63,웹 프론트엔드 개발자 (Junior),오케이포스,"웹 개발자, 프론트엔드 개발자",,,"서울 서울특별시 강남구 테헤란로87길 35 금강타워3 9층, 10층",,"['Git', 'Github', 'Django', 'Python', 'AWS', 'GCP']",https://www.wanted.co.kr///wd/154756
64,플랫폼 백엔드 개발자,111퍼센트,"웹 개발자, Node.js 개발자",,,서울 테헤란로152,,[],https://www.wanted.co.kr///wd/57010
65,백엔드 개발자,알고리고,"웹 개발자, 서버 개발자, DevOps / 시스템 관리자",,,서울 서울 강남구 봉은사로 319,,"['MySQL', 'Oracle', 'Java', 'Node.js', 'Python', 'AWS', 'TCP', 'IP', 'PostgreSQL']",https://www.wanted.co.kr///wd/160097
66,"Web개발자 (C#, .NET, MS-SQL, Java)",미디어토마토,"웹 개발자, 자바 개발자, .NET 개발자",,,서울 서울특별시 마포구 양화진4길 32,,"['AJAX', 'MySQL', 'Oracle', 'ASP', 'ASP .NET', 'C#', 'Java', 'JavaScript', 'jQuery', 'IIS', 'MSSQL']",https://www.wanted.co.kr///wd/158522
67,프론트엔드 개발자,스카이링크,"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,서울 관악구 관악로 158 BS 타워 5층,,"['Git', 'VueJS', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'React.js']",https://www.wanted.co.kr///wd/127335
68,백엔드 개발자,스카이링크,"웹 개발자, 서버 개발자, Node.js 개발자",,,서울 관악구 관악로 158 BS 타워 5층,,"['Git', 'VueJS', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'React.js']",https://www.wanted.co.kr///wd/127334
69,[아키스케치] QA 개발자_전문연구요원,아키드로우,"웹 개발자, QA,테스트 엔지니어",,,서울 서울시 성동구 성수이로20길 16 3층,,"['AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/162250
70,[아키스케치] 백엔드 개발자_전문연구요원,아키드로우,"웹 개발자, 서버 개발자, 자바 개발자",,,서울 서초구 매헌로 16 하이브랜드 14층 1414호,,"['AWS', 'Spring Framework']",https://www.wanted.co.kr///wd/154715
71,[1500억↑투자] Junior Backend Engineer,트릿지,"웹 개발자, 서버 개발자, 파이썬 개발자",2023-06-06,,서울 서울특별시 서초구 방배로 226,,"['Python', 'SQL', 'Google Analytics']",https://www.wanted.co.kr///wd/96150
72,[개발] 백엔드 서버 개발자(PHP),지란지교소프트,"웹 개발자, 서버 개발자, PHP 개발자",2023-06-30,,"경기 금토로 80번길 37, 인피니티타워 W동 지란지교소프트",,"['Git', 'Google Cloud Platform', 'MongoDB', 'MySQL', 'Redis', 'JavaScript', 'PHP', 'AWS', 'PostgreSQL', 'Laravel']",https://www.wanted.co.kr///wd/137713
73,프론트앤드 개발자,아트라미,"웹 개발자, 프론트엔드 개발자, Node.js 개발자",,,대구 대구광역시 남구 현충로 161-2 2층,,"['React', 'CSS', 'HTML', 'Java', 'JavaScript', 'Node.js', 'PHP', 'Python', 'TypeScript', 'AWS', 'PostgreSQL', 'React.js', 'Spring Boot', 'Next.js']",https://www.wanted.co.kr///wd/158585
74,프론트엔드 개발자 (신입),엘리오앤컴퍼니,"웹 개발자, 프론트엔드 개발자, 자바 개발자",,,서울 서울특별시 강남구 언주로 103길 7,,[],https://www.wanted.co.kr///wd/144480
75,웹 유지보수 개발자,브이엠에스솔루션스,"웹 개발자, 서버 개발자, 데이터 엔지니어",2023-05-29,,경기 ,,"['C#', 'HTML', 'Java', 'JavaScript', 'TypeScript', 'ERP 소프트웨어', 'MES', 'MSSQL']",https://www.wanted.co.kr///wd/160364
76,웹 프로그래머,브이엠에스솔루션스,"웹 개발자, 서버 개발자, 프론트엔드 개발자",2023-05-29,,경기 ,,"['C#', 'HTML', 'Java', 'JavaScript', 'TypeScript', 'ERP 소프트웨어', 'MES', 'MSSQL']",https://www.wanted.co.kr///wd/160236
77,서비스 개발(전문연구요원),어크로스비,"웹 개발자, 서버 개발자, 프론트엔드 개발자",,,서울 서울특별시 서초구 매헌로8길,,"['Git', 'AWS']",https://www.wanted.co.kr///wd/94114
78,IT 개발자 DX,제이앤에스미디어,"웹 개발자, 서버 개발자",,,서울 서울특별시 성동구 뚝섬로1길 25 서울숲한라에코밸리 202호,,[],https://www.wanted.co.kr///wd/142927
79,프론트개발 - 신입,뉴링크,"웹 개발자, 프론트엔드 개발자, Node.js 개발자",,,서울 학동로31길 12 벤쳐캐슬 5층,,"['Android', 'Java', 'Kotlin', 'MVC', 'MVVM', 'Gradle']",https://www.wanted.co.kr///wd/88129
80,[200억↑투자] [신입] 서버 엔지니어 (Python),페이히어,"웹 개발자, 서버 개발자, 파이썬 개발자",,,"서울 서울특별시 강남구 강남대로 374, 16층",,[],https://www.wanted.co.kr///wd/151815
81,프론트엔드 개발자 (신입),모멘티,"웹 개발자, 프론트엔드 개발자, 크로스플랫폼 앱 개발자",2023-05-28,,"서울 서울특별시 강남구 역삼동 605-23, 4층 (송호빌딩)",,[],https://www.wanted.co.kr///wd/79033
82,"백오피스 개발자(DotNet, C#)",플랫타이엑스,"웹 개발자, 서버 개발자, .NET 개발자",,,서울 서울특별시 서초구 남부순환로 2469,,"['Git', 'ASP .NET', 'AWS']",https://www.wanted.co.kr///wd/114520
83,프런트엔드 개발자,세무통,"웹 개발자, 소프트웨어 엔지니어, 프론트엔드 개발자",,,"서울 금천구 디지털로9길 41, 삼성IT해링턴타워 909호",,[],https://www.wanted.co.kr///wd/136764
84,프론트엔드 개발자,토탈미디어그램,"웹 개발자, 프론트엔드 개발자",,,"서울 선릉로108길 7, 2층 수본빌딩",,"['AngularJS', 'TypeScript']",https://www.wanted.co.kr///wd/161336
85,솔루션 엔지니어(시스템엔지니어/SE),이파피루스,"웹 개발자, 소프트웨어 엔지니어, 기술지원",,,"경기 경기 성남시 분당구 판교역로 230, 삼환하이펙스 B동 408호",,"['AJAX', 'MySQL', 'Java', 'SQL', 'Servlets']",https://www.wanted.co.kr///wd/72553
86,웹(Web) 백엔드 개발자,누아,웹 개발자,,,"서울 서울특별시 종로구 청계천로 85, 10층",,"['MXNET', 'Pytorch', 'Tensorflow']",https://www.wanted.co.kr///wd/118971
87,서비스 기획자,디알엑스,"웹 개발자, 프론트엔드 개발자",,,"서울 마포구 독막로7길 59 (서교동, DRX빌딩)",,[],https://www.wanted.co.kr///wd/150583
88,IT전산운영/관리,에이테크솔루션,"웹 개발자, 서버 개발자, 보안 엔지니어",,,경기 경기도 화성시 정남면 가장로 277,,['Python'],https://www.wanted.co.kr///wd/141778
89,임베디드 SW개발자 (전문연구요원),스카이오토넷,"웹 개발자, 소프트웨어 엔지니어, 임베디드 개발자",,,"서울 서울특별시 서초구  논현로 145 (수냐빌딩) 4층, 스카이오토넷 임베디드비전연구소",,"['Shader', 'C', 'C++', '차량', '검증', 'CAM', '카메라', 'Embedded Linux', '공차 분석', 'Embedded C']",https://www.wanted.co.kr///wd/138182
90,JAVA 개발,라이프시맨틱스,"웹 개발자, 프론트엔드 개발자, 안드로이드 개발자",,,"서울 강남구 언주로 533, 라이프시맨틱스빌딩",,[],https://www.wanted.co.kr///wd/144756
91,풀스택 개발자(신입 가능),굿라이프랩,"웹 개발자, 프론트엔드 개발자, 자바 개발자",,,"서울 관악구 낙성대로 2, 낙성벤처창업센터",,"['Git', 'MySQL', 'HTML', 'JavaScript', 'Node.js', 'TypeScript', 'AWS', 'Docker', 'React.js', 'Next.js']",https://www.wanted.co.kr///wd/162155
92,웹 GIS 개발자(웹페이지 퍼블리셔 및 디자인),지씨,웹 개발자,,,인천 인천광역시 연수구 송도과학로 70,,"['Linux', 'VueJS', 'C / C++', 'C#', 'CSS', 'JavaScript', 'Python', 'Docker', 'PostgreSQL', 'NodeJS', 'MFC', 'Spring Boot', '전자정부프레임워크']",https://www.wanted.co.kr///wd/148848
93,쇼핑몰 PHP 개발자,메이저월드,"웹 개발자, 프론트엔드 개발자, PHP 개발자",,,경기 경기 화성시 동탄기흥로 557 14층,,"['Git', 'MySQL', 'JavaScript', 'PHP', 'jQuery']",https://www.wanted.co.kr///wd/101347
94,웹 개발자,부동산일일사,"웹 개발자, 프론트엔드 개발자, 자바 개발자",2023-05-31,,"서울 서울시 서초구 효령로 346, 8,9층(서초동)",,[],https://www.wanted.co.kr///wd/136002
95,보안컨설팅,에스오티글로벌,"웹 개발자, 소프트웨어 엔지니어, 보안 엔지니어",,,서울 서울시 금천구 디지털로 121 에이스가산타워 1511호,,"['보안', '취약점 스캐닝']",https://www.wanted.co.kr///wd/131262
96,Frontend (React / Angular) 개발자,디앤에스에버(DNS Ever),"웹 개발자, 프론트엔드 개발자, 블록체인 플랫폼 엔지니어",,,"서울 서울시 강남구 강남대로 372, 9층",,"['Git', 'AngularJS', 'React', 'JavaScript', 'Node.js', 'Python', 'AWS', 'Docker']",https://www.wanted.co.kr///wd/136925
97,백엔드 개발자,제이엔에스헬스케어,"웹 개발자, 프론트엔드 개발자, 자바 개발자",,,서울 서울특별시 광진구 능등로 81,,"['Git', 'HTML', 'Java', 'JavaScript', 'TypeScript', 'AWS', 'React.js', 'Next.js']",https://www.wanted.co.kr///wd/160753
98,프론트 개발자,제이엔에스헬스케어,"웹 개발자, 프론트엔드 개발자, 자바 개발자",,,서울 서울특별시 광진구 능등로 81,,"['Git', 'HTML', 'Java', 'JavaScript', 'TypeScript', 'AWS', 'React.js', 'Next.js']",https://www.wanted.co.kr///wd/160724
99,웹 개발자,이매지니어스,"웹 개발자, 프론트엔드 개발자, 블록체인 플랫폼 엔지니어",,,서울 서울특별시 성동구 뚝섬로13길 38 상상플래닛,,"['iOS', 'Swift']",https://www.wanted.co.kr///wd/141732
100,웹 개발자 신입,쿤텍,"웹 개발자, 프론트엔드 개발자, Node.js 개발자",,,"서울 경기도 성남시 수정구 창업로 54, LH기업성장센터 나동 232호",,['Linux'],https://www.wanted.co.kr///wd/160421
